Category,Grade,YearMonth,forecast_qty
Boots,Gently Used,2023-01-01,208508.90325335442
Boots,New,2023-01-01,60385.96480449363
Boots,Worn,2023-01-01,30728.667871788824
Coats,Gently Used,2023-01-01,121171.43377244638
Coats,New,2023-01-01,36205.161138415155
Coats,Worn,2023-01-01,12767.494775205021
Shirts,Gently Used,2023-01-01,115929.52750604732
Shirts,New,2023-01-01,37551.240701412215
Shirts,Worn,2023-01-01,25090.329278543948
Sneakers,Gently Used,2023-01-01,381613.8954475315
Sneakers,New,2023-01-01,124045.46568897719
Sneakers,Worn,2023-01-01,59480.91534532375
Boots,Gently Used,2023-02-01,190071.5108503303
Boots,New,2023-02-01,38810.746349585585
Boots,Worn,2023-02-01,23994.967609078987
Coats,Gently Used,2023-02-01,99393.06891318088
Coats,New,2023-02-01,38756.1073914038
Coats,Worn,2023-02-01,15970.671956869566
Shirts,Gently Used,2023-02-01,108574.56033401427
Shirts,New,2023-02-01,32917.906739422724
Shirts,Worn,2023-02-01,19097.63311689859
Sneakers,Gently Used,2023-02-01,356850.7219030442
Sneakers,New,2023-02-01,120189.65660268425
Sneakers,Worn,2023-02-01,48770.83847829577
Boots,Gently Used,2023-03-01,165029.79600726883
Boots,New,2023-03-01,41457.88043691274
Boots,Worn,2023-03-01,21416.167926610586
Coats,Gently Used,2023-03-01,92967.85015499375
Coats,New,2023-03-01,27223.139347673346
Coats,Worn,2023-03-01,10683.153402751876
Shirts,Gently Used,2023-03-01,100507.45524885351
Shirts,New,2023-03-01,32649.751870337743
Shirts,Worn,2023-03-01,20277.554406607425
Sneakers,Gently Used,2023-03-01,352703.6973417253
Sneakers,New,2023-03-01,90696.62696151409
Sneakers,Worn,2023-03-01,40964.79124362681
Boots,Gently Used,2023-04-01,151513.7747197129
Boots,New,2023-04-01,45962.28498247385
Boots,Worn,2023-04-01,24173.729892206407
Coats,Gently Used,2023-04-01,82846.12473652432
Coats,New,2023-04-01,38406.07224370333
Coats,Worn,2023-04-01,13608.476311382878
Shirts,Gently Used,2023-04-01,96463.92482931205
Shirts,New,2023-04-01,32950.3309933729
Shirts,Worn,2023-04-01,15019.835767864479
Sneakers,Gently Used,2023-04-01,326414.2291895482
Sneakers,New,2023-04-01,83461.23761599406
Sneakers,Worn,2023-04-01,44972.6029309351
Boots,Gently Used,2023-05-01,175905.01968149922
Boots,New,2023-05-01,38161.98154021019
Boots,Worn,2023-05-01,28410.155435208573
Coats,Gently Used,2023-05-01,102921.3198223958
Coats,New,2023-05-01,37421.509536977
Coats,Worn,2023-05-01,11300.96797505458
Shirts,Gently Used,2023-05-01,104865.44500600005
Shirts,New,2023-05-01,29438.036192618132
