Date,Vendor,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,Vendor_Address,GIK_Per_Unit,Total_GIK
1/1/2017,Company 7,644,Footwear,Sneakers,Brand B,Gently Used,5,Atlanta,"8 Fictional St, Company 7 City, State 08",0.01,6.44
1/1/2017,Company 3,2748,Footwear,Boots,Brand B,Gently Used,6,Nashville,"4 Fictional St, Company 3 City, State 04",22.5,61830
1/1/2017,Company 13,1471,Apparel,Shirts,Brand B,New,XXL,NY,"14 Fictional St, Company 13 City, State 14",2.15,3162.65
1/1/2017,Everything Else,2971,Footwear,Sneakers,Brand B,Gently Used,12,LA,"1 Fictional St, Everything Else City, State 01",0.26,772.46
1/1/2017,Everything Else,1382,Footwear,Boots,Brand B,Gently Used,9,Atlanta,"1 Fictional St, Everything Else City, State 01",1.21,1672.22
1/1/2017,Everything Else,1695,Footwear,Sneakers,Brand A,New,7,Chicago,"1 Fictional St, Everything Else City, State 01",15.96,27052.2
1/1/2017,Everything Else,1212,Footwear,Boots,Brand C,Gently Used,9,LA,"1 Fictional St, Everything Else City, State 01",4.73,5732.76
1/1/2017,Company 16,2604,Apparel,Shirts,Brand B,Gently Used,M,Atlanta,"17 Fictional St, Company 16 City, State 17",0.13,338.52
1/1/2017,Everything Else,3523,Footwear,Sneakers,Brand A,New,5,LA,"1 Fictional St, Everything Else City, State 01",1.59,5601.57
1/1/2017,Company 4,1984,Apparel,Shirts,Brand B,Worn,L,NY,"5 Fictional St, Company 4 City, State 05",15.07,29898.88
1/1/2017,Everything Else,2522,Footwear,Boots,Brand B,Gently Used,5,Nashville,"1 Fictional St, Everything Else City, State 01",1.01,2547.22
1/1/2017,Everything Else,2386,Footwear,Sneakers,Brand C,New,7,Nashville,"1 Fictional St, Everything Else City, State 01",6.62,15795.32
1/1/2017,Company 5,2997,Apparel,Coats,Generic,Gently Used,M,NY,"6 Fictional St, Company 5 City, State 06",151.22,453206.34
