Date,Inventory_Level
1/1/2017,29154
1/2/2017,55036
1/3/2017,83609
1/4/2017,105607
1/5/2017,143171
1/6/2017,177813
1/7/2017,222539
1/8/2017,248947
1/9/2017,269949
1/10/2017,282083
1/11/2017,319671
1/12/2017,331018
1/13/2017,360849
1/14/2017,390936
1/15/2017,407388
1/16/2017,428970
1/17/2017,445613
1/18/2017,473254
1/19/2017,491814
1/20/2017,495709
1/21/2017,513254
1/22/2017,535665
1/23/2017,538949
1/24/2017,562751
1/25/2017,575776
1/26/2017,562245
1/27/2017,551207
1/28/2017,542921
1/29/2017,585139
1/30/2017,581735
1/31/2017,555732
2/1/2017,558393
2/2/2017,558334
2/3/2017,541720
2/4/2017,540056
2/5/2017,542846
2/6/2017,528302
2/7/2017,513581
2/8/2017,503420
2/9/2017,507818
2/10/2017,512310
2/11/2017,507455
2/12/2017,522765
2/13/2017,530392
2/14/2017,518840
2/15/2017,528547
2/16/2017,538961
2/17/2017,540280
2/18/2017,540629
2/19/2017,534900
2/20/2017,529953
2/21/2017,533428
2/22/2017,536950
2/23/2017,530356
2/24/2017,513893
2/25/2017,520196
2/26/2017,504771
2/27/2017,497596
2/28/2017,485695
3/1/2017,508314
3/2/2017,496698
3/3/2017,477665
3/4/2017,470575
3/5/2017,448024
3/6/2017,439287
3/7/2017,439696
3/8/2017,428199
3/9/2017,401245
3/10/2017,420456
3/11/2017,429469
3/12/2017,408481
3/13/2017,407898
3/14/2017,377477
3/15/2017,359097
3/16/2017,361289
3/17/2017,364939
3/18/2017,358519
3/19/2017,373117
3/20/2017,389076
3/21/2017,397627
3/22/2017,392778
3/23/2017,402562
3/24/2017,419657
3/25/2017,402259
3/26/2017,425523
3/27/2017,431043
3/28/2017,460833
3/29/2017,471132
3/30/2017,465613
3/31/2017,478554
4/1/2017,472776
4/2/2017,473502
4/3/2017,456604
4/4/2017,447563
4/5/2017,451934
4/6/2017,451939
4/7/2017,441801
4/8/2017,421392
4/9/2017,417689
4/10/2017,405810
4/11/2017,410369
4/12/2017,406484
4/13/2017,408839
4/14/2017,423160
4/15/2017,428273
4/16/2017,436395
4/17/2017,453879
4/18/2017,475528
4/19/2017,476609
4/20/2017,472338
4/21/2017,499755
4/22/2017,488521
4/23/2017,480852
4/24/2017,488320
4/25/2017,499102
4/26/2017,500687
4/27/2017,499655
4/28/2017,492391
4/29/2017,473648
4/30/2017,471731
5/1/2017,449647
5/2/2017,452797
5/3/2017,464681
5/4/2017,466461
5/5/2017,440255
5/6/2017,467296
5/7/2017,454788
5/8/2017,459422
5/9/2017,468944
5/10/2017,443231
