Date,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,GIK_Per_Unit,Total_GIK,Partner,EI_Per_Unit,Total_EI,Partner_Address,Shipment_Type,Program
1/30/2017,644,Footwear,Sneakers,Brand B,Gently Used,5,Atlanta,0.01,6.44,Company H,6.16,3967.04,"9 Partner Blvd, Company H Town, Region 09",Micro-Enterprise,General
1/19/2017,2748,Footwear,Boots,Brand B,Gently Used,6,Nashville,22.5,61830,Company C,11.55,31739.4,"3 Partner Blvd, Company C Town, Region 03",Relief,School
1/19/2017,1471,Apparel,Shirts,Brand B,New,XXL,NY,2.15,3162.65,Company C,8.09,11900.39,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/10/2017,2971,Footwear,Sneakers,Brand B,Gently Used,12,LA,0.26,772.46,Company C,8.36,24837.56,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/11/2017,1382,Footwear,Boots,Brand B,Gently Used,9,Atlanta,1.21,1672.22,Company F,4.05,5597.1,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/27/2017,1695,Footwear,Sneakers,Brand A,New,7,Chicago,15.96,27052.2,Company C,9.88,16746.6,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/24/2017,1212,Footwear,Boots,Brand C,Gently Used,9,LA,4.73,5732.76,Company K,6.62,8023.44,"12 Partner Blvd, Company K Town, Region 12",Relief,School
1/15/2017,2604,Apparel,Shirts,Brand B,Gently Used,M,Atlanta,0.13,338.52,Company E,14.41,37523.64,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,General
1/18/2017,3523,Footwear,Sneakers,Brand A,New,5,LA,1.59,5601.57,Company C,6.71,23639.33,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/15/2017,1984,Apparel,Shirts,Brand B,Worn,L,NY,15.07,29898.88,Company F,3.33,6606.72,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,School
1/28/2017,2522,Footwear,Boots,Brand B,Gently Used,5,Nashville,1.01,2547.22,Company C,11.02,27792.44,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/26/2017,2386,Footwear,Sneakers,Brand C,New,7,Nashville,6.62,15795.32,Company F,3.32,7921.52,"6 Partner Blvd, Company F Town, Region 06",Relief,School
1/10/2017,2997,Apparel,Coats,Generic,Gently Used,M,NY,151.22,453206.34,Company F,2.85,8541.45,"6 Partner Blvd, Company F Town, Region 06",Relief,Winter
1/28/2017,2763,Footwear,Boots,Generic,Gently Used,8,LA,0.06,165.78,Company C,7.91,21855.33,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/12/2017,3828,Footwear,Boots,Brand A,Worn,9,Nashville,0.06,229.68,Company E,11.69,44749.32,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/12/2017,1868,Footwear,Sneakers,Brand B,Gently Used,11,Chicago,0.05,93.4,Company F,2.11,3941.48,"6 Partner Blvd, Company F Town, Region 06",Relief,School
1/16/2017,2978,Apparel,Shirts,Generic,Gently Used,XL,NY,9226.5,27476517,Company F,1.93,5747.54,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/17/2017,3028,Footwear,Sneakers,Generic,Gently Used,8,Atlanta,194.74,589672.72,Company A,0,0,"1 Partner Blvd, Company A Town, Region 01",Relief,School
1/9/2017,3191,Footwear,Sneakers,Brand A,Gently Used,6,Chicago,575.1,1835144.1,Company F,7.11,22688.01,"6 Partner Blvd, Company F Town, Region 06",Relief,General
1/29/2017,2343,Apparel,Shirts,Generic,Gently Used,L,Nashville,0.5,1171.5,Company E,15.89,37230.27,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
1/21/2017,1868,Apparel,Shirts,Brand C,New,M,Atlanta,0.16,298.88,Company I,1.76,3287.68,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,School
1/18/2017,3587,Footwear,Sneakers,Brand A,Worn,7,LA,0.15,538.05,Company C,7.2,25826.4,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/25/2017,1713,Apparel,Coats,Brand C,Gently Used,M,Atlanta,55.89,95739.57,Company E,12.23,20949.99,"5 Partner Blvd, Company E Town, Region 05",Relief,School
1/9/2017,1233,Footwear,Sneakers,Generic,Worn,10,Nashville,628.11,774459.63,Company J,5.64,6954.12,"11 Partner Blvd, Company J Town, Region 11",Micro-Enterprise,General
1/12/2017,3965,Apparel,Coats,Brand A,Gently Used,XL,LA,0.72,2854.8,Company F,4.7,18635.5,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/14/2017,1394,Footwear,Boots,Brand C,Gently Used,12,Nashville,21.35,29761.9,Company L,19.86,27684.84,"13 Partner Blvd, Company L Town, Region 13",Relief,General
1/29/2017,987,Apparel,Coats,Generic,Gently Used,XXL,Atlanta,0.59,582.33,Company K,6.33,6247.71,"12 Partner Blvd, Company K Town, Region 12",Micro-Enterprise,General
2/1/2017,2577,Footwear,Sneakers,Generic,Gently Used,8,LA,29.14,75093.78,Company C,9.31,23991.87,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/26/2017,2764,Footwear,Sneakers,Brand B,Gently Used,10,Nashville,0.3,829.2,Everything Else,2.08,5749.12,"7 Partner Blvd, Everything Else Town, Region 07",Micro-Enterprise,Winter
1/24/2017,1700,Footwear,Boots,Brand A,Gently Used,11,Chicago,13.6,23120,Company K,9.31,15827,"12 Partner Blvd, Company K Town, Region 12",Relief,School
1/21/2017,1468,Footwear,Sneakers,Brand B,Gently Used,5,NY,2.94,4315.92,Company E,12.08,17733.44,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
1/20/2017,3109,Footwear,Sneakers,Brand B,Gently Used,12,Chicago,1.1,3419.9,Company E,10.21,31742.89,"5 Partner Blvd, Company E Town, Region 05",Relief,Winter
1/10/2017,3129,Apparel,Shirts,Brand B,Gently Used,XXL,LA,23183.85,72542266.65,Company B,1.52,4756.08,"2 Partner Blvd, Company B Town, Region 02",Relief,Winter
1/26/2017,3766,Footwear,Sneakers,Brand B,Gently Used,5,Chicago,265.95,1001567.7,Company F,6.65,25043.9,"6 Partner Blvd, Company F Town, Region 06",Relief,School
1/22/2017,1809,Apparel,Coats,Generic,Worn,XL,Chicago,0.1,180.9,Company F,3.18,5752.62,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/14/2017,1788,Apparel,Shirts,Generic,Gently Used,XL,LA,0.03,53.64,Company A,3.4,6079.2,"1 Partner Blvd, Company A Town, Region 01",Relief,School
1/18/2017,2537,Footwear,Sneakers,Generic,Gently Used,12,Atlanta,124.46,315755.02,Company C,10.52,26689.24,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/19/2017,1355,Footwear,Sneakers,Brand B,Gently Used,10,Nashville,7.06,9566.3,Company C,6.17,8360.35,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/13/2017,2232,Footwear,Boots,Brand A,Gently Used,11,LA,5.61,12521.52,Company H,7.3,16293.6,"9 Partner Blvd, Company H Town, Region 09",Micro-Enterprise,General
1/20/2017,1414,Footwear,Sneakers,Brand B,Gently Used,8,Nashville,3.29,4652.06,Company C,10.55,14917.7,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/31/2017,5086,Apparel,Coats,Brand B,Gently Used,M,Chicago,10.01,50910.86,Company C,10.01,50910.86,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/24/2017,1281,Apparel,Shirts,Brand A,New,L,LA,53.94,69097.14,Company E,19.23,24633.63,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/26/2017,2126,Footwear,Sneakers,Generic,Gently Used,12,NY,84.31,179243.06,Company E,14.17,30125.42,"5 Partner Blvd, Company E Town, Region 05",Relief,Winter
1/22/2017,3041,Apparel,Shirts,Brand A,Gently Used,L,Chicago,5.26,15995.66,Company J,8.79,26730.39,"11 Partner Blvd, Company J Town, Region 11",Micro-Enterprise,Winter
1/20/2017,2932,Apparel,Shirts,Brand C,Gently Used,S,NY,106.46,312140.72,Company E,11.39,33395.48,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
2/3/2017,1352,Footwear,Sneakers,Generic,New,9,Atlanta,0.21,283.92,Company C,9.6,12979.2,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/28/2017,1024,Footwear,Boots,Brand A,Gently Used,6,Chicago,36.66,37539.84,Company E,13.95,14284.8,"5 Partner Blvd, Company E Town, Region 05",Relief,General
1/28/2017,2408,Footwear,Sneakers,Brand B,Gently Used,7,Atlanta,226.42,545219.36,Company K,5.55,13364.4,"12 Partner Blvd, Company K Town, Region 12",Relief,Winter
1/16/2017,1451,Footwear,Sneakers,Brand A,New,9,LA,43.73,63452.23,Company F,4.34,6297.34,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,School
1/20/2017,1276,Footwear,Sneakers,Brand C,New,12,NY,56.58,72196.08,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,School
1/14/2017,715,Footwear,Sneakers,Generic,Gently Used,10,Atlanta,220.89,157936.35,Company C,8.46,6048.9,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/26/2017,1046,Apparel,Shirts,Generic,Gently Used,M,Atlanta,0.17,177.82,Company C,8.84,9246.64,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/28/2017,3110,Footwear,Sneakers,Brand A,Gently Used,5,Atlanta,278.72,866819.2,Company J,6.66,20712.6,"11 Partner Blvd, Company J Town, Region 11",Relief,Winter
1/28/2017,6892,Footwear,Boots,Brand A,Gently Used,5,Nashville,0.72,4962.24,Company F,1.67,11509.64,"6 Partner Blvd, Company F Town, Region 06",Relief,General
1/26/2017,998,Apparel,Shirts,Brand B,Worn,M,Nashville,42.34,42255.32,Everything Else,4.73,4720.54,"7 Partner Blvd, Everything Else Town, Region 07",Micro-Enterprise,School
1/30/2017,2402,Footwear,Boots,Brand A,Gently Used,8,NY,1.02,2450.04,Company H,9.3,22338.6,"9 Partner Blvd, Company H Town, Region 09",Relief,Winter
1/22/2017,2992,Footwear,Sneakers,Brand A,Gently Used,11,Chicago,1414.87,4233291.04,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Relief,General
1/17/2017,3320,Footwear,Boots,Brand C,New,12,Atlanta,579.98,1925533.6,Company C,12.32,40902.4,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/26/2017,2621,Apparel,Shirts,Generic,Gently Used,L,Atlanta,41.11,107749.31,Company F,6.49,17010.29,"6 Partner Blvd, Company F Town, Region 06",Relief,General
2/1/2017,1484,Apparel,Coats,Brand C,Gently Used,M,Atlanta,0.06,89.04,Company F,3.83,5683.72,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,General
1/14/2017,3151,Footwear,Boots,Brand B,New,7,Atlanta,1.23,3875.73,Company I,1.22,3844.22,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,General
1/14/2017,4079,Apparel,Coats,Brand A,Gently Used,M,LA,0.46,1876.34,Company L,19.25,78520.75,"13 Partner Blvd, Company L Town, Region 13",Micro-Enterprise,School
1/13/2017,2703,Footwear,Sneakers,Brand A,Gently Used,7,NY,10.18,27516.54,Company F,3.98,10757.94,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/31/2017,3453,Footwear,Sneakers,Brand B,Gently Used,11,LA,101.65,350997.45,Company F,6.15,21235.95,"6 Partner Blvd, Company F Town, Region 06",Relief,General
1/19/2017,2030,Apparel,Shirts,Brand A,New,M,Atlanta,18.03,36600.9,Company C,9.43,19142.9,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/15/2017,2024,Apparel,Shirts,Brand A,Gently Used,M,NY,9.99,20219.76,Company E,14.53,29408.72,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
1/16/2017,2409,Footwear,Sneakers,Generic,Gently Used,12,Chicago,1.89,4553.01,Company E,10.8,26017.2,"5 Partner Blvd, Company E Town, Region 05",Relief,General
1/19/2017,2708,Footwear,Sneakers,Brand C,Worn,10,LA,6.69,18116.52,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Relief,Winter
1/14/2017,3744,Apparel,Coats,Brand B,Gently Used,XL,Chicago,2742.63,10268406.72,Company C,6.23,23325.12,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/13/2017,3231,Footwear,Sneakers,Generic,Gently Used,11,Chicago,13.19,42616.89,Company F,1.49,4814.19,"6 Partner Blvd, Company F Town, Region 06",Relief,Winter
1/23/2017,2768,Footwear,Sneakers,Generic,Worn,9,Nashville,1.23,3404.64,Company F,3.59,9937.12,"6 Partner Blvd, Company F Town, Region 06",Relief,Winter
1/20/2017,3217,Footwear,Boots,Brand C,Worn,10,NY,27.18,87438.06,Company F,5.32,17114.44,"6 Partner Blvd, Company F Town, Region 06",Relief,General
2/3/2017,1413,Apparel,Shirts,Brand B,New,XXL,LA,0.6,847.8,Company C,6.97,9848.61,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/14/2017,2086,Footwear,Boots,Brand A,New,6,Atlanta,5.51,11493.86,Company C,12.35,25762.1,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/15/2017,4517,Footwear,Sneakers,Brand B,Gently Used,8,NY,5.22,23578.74,Company A,0,0,"1 Partner Blvd, Company A Town, Region 01",Micro-Enterprise,General
1/14/2017,2704,Apparel,Shirts,Brand A,Gently Used,M,Atlanta,32.21,87095.84,Company F,3.86,10437.44,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,School
1/24/2017,2069,Footwear,Sneakers,Generic,Gently Used,12,Atlanta,3.79,7841.51,Everything Else,0,0,"7 Partner Blvd, Everything Else Town, Region 07",Relief,General
1/25/2017,2360,Footwear,Sneakers,Generic,Gently Used,12,Chicago,1.73,4082.8,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Relief,School
1/15/2017,993,Footwear,Boots,Brand C,Gently Used,8,LA,1.43,1419.99,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,School
1/19/2017,3785,Footwear,Boots,Brand B,Worn,10,Atlanta,13.47,50983.95,Company E,11.65,44095.25,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
2/2/2017,2535,Footwear,Sneakers,Generic,Gently Used,10,LA,15.34,38886.9,Company F,1.47,3726.45,"6 Partner Blvd, Company F Town, Region 06",Relief,General
2/1/2017,2793,Apparel,Coats,Brand B,Gently Used,L,NY,56.16,156854.88,Company C,6.71,18741.03,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/21/2017,4035,Footwear,Sneakers,Brand C,Gently Used,6,NY,12.35,49832.25,Company C,6.57,26509.95,"3 Partner Blvd, Company C Town, Region 03",Relief,School
1/18/2017,3249,Footwear,Boots,Generic,New,5,Chicago,77.5,251797.5,Company C,12.69,41229.81,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/28/2017,1117,Footwear,Sneakers,Brand B,Gently Used,8,Atlanta,0.5,558.5,Company G,0.2,223.4,"8 Partner Blvd, Company G Town, Region 08",Micro-Enterprise,Winter
2/5/2017,1760,Footwear,Sneakers,Generic,Gently Used,10,NY,239.86,422153.6,Company C,9.37,16491.2,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
2/1/2017,4425,Footwear,Boots,Brand A,Worn,6,NY,1.03,4557.75,Company F,5.64,24957,"6 Partner Blvd, Company F Town, Region 06",Relief,Winter
1/26/2017,3363,Footwear,Boots,Generic,Gently Used,6,LA,261.74,880231.62,Company L,19.16,64435.08,"13 Partner Blvd, Company L Town, Region 13",Relief,School
1/25/2017,2817,Footwear,Sneakers,Generic,Gently Used,9,Nashville,16.29,45888.93,Company E,11.37,32029.29,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/17/2017,1742,Apparel,Shirts,Brand C,New,S,NY,29.57,51510.94,Company C,10.42,18151.64,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/20/2017,2969,Footwear,Boots,Brand C,Gently Used,11,NY,56.87,168847.03,Company E,16.44,48810.36,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,General
1/15/2017,2387,Footwear,Sneakers,Brand A,Gently Used,6,NY,5.46,13033.02,Company C,8.89,21220.43,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/29/2017,3253,Footwear,Sneakers,Brand C,Gently Used,11,Atlanta,17.97,58456.41,Company F,2.52,8197.56,"6 Partner Blvd, Company F Town, Region 06",Relief,School
1/26/2017,3480,Footwear,Sneakers,Generic,Gently Used,7,Nashville,0.64,2227.2,Company C,8.64,30067.2,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/25/2017,2905,Apparel,Coats,Brand B,Gently Used,XL,NY,1060.88,3081856.4,Company C,8.57,24895.85,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/27/2017,2910,Footwear,Boots,Generic,Gently Used,11,Atlanta,26.16,76125.6,Company F,7.25,21097.5,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/19/2017,2150,Footwear,Sneakers,Brand B,Worn,12,Atlanta,11.36,24424,Company A,2.5,5375,"1 Partner Blvd, Company A Town, Region 01",Micro-Enterprise,Winter
1/27/2017,2056,Footwear,Sneakers,Brand B,Gently Used,8,NY,240.16,493768.96,Company C,8.6,17681.6,"3 Partner Blvd, Company C Town, Region 03",Relief,School
1/30/2017,4419,Footwear,Sneakers,Brand A,New,12,Chicago,4325.77,19115577.63,Company C,6.42,28369.98,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/30/2017,3806,Footwear,Sneakers,Brand A,Worn,9,Nashville,0.03,114.18,Company E,13.53,51495.18,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/21/2017,1358,Footwear,Sneakers,Generic,Gently Used,12,Nashville,243.35,330469.3,Company C,9.82,13335.56,"3 Partner Blvd, Company C Town, Region 03",Relief,General
