Date,Vendor,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,Vendor_Address,GIK_Per_Unit,Total_GIK
1/1/2023,Everything Else,1835,Footwear,Sneakers,Generic,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",14.63,26846.05
1/1/2023,Company 4,2803,Footwear,Sneakers,Brand A,Gently Used,5,Atlanta,"5 Fictional St, Company 4 City, State 05",30.85,86472.55
1/1/2023,Everything Else,3882,Footwear,Sneakers,Generic,Worn,8,LA,"1 Fictional St, Everything Else City, State 01",30.02,116537.64
1/1/2023,Company 3,1797,Footwear,Sneakers,Brand A,Gently Used,12,LA,"4 Fictional St, Company 3 City, State 04",0.86,1545.42
1/1/2023,Company 5,1922,Apparel,Coats,Brand A,Gently Used,M,Nashville,"6 Fictional St, Company 5 City, State 06",50.67,97387.74
1/1/2023,Everything Else,2692,Apparel,Shirts,Generic,New,XL,LA,"1 Fictional St, Everything Else City, State 01",1.71,4603.32
1/1/2023,Company 9,4013,Footwear,Sneakers,Generic,Gently Used,11,Atlanta,"10 Fictional St, Company 9 City, State 10",0.12,481.56
1/1/2023,Everything Else,1593,Footwear,Sneakers,Generic,Worn,8,Atlanta,"1 Fictional St, Everything Else City, State 01",2.35,3743.55
1/1/2023,Everything Else,1564,Apparel,Shirts,Brand B,Gently Used,XL,LA,"1 Fictional St, Everything Else City, State 01",24.71,38646.44
1/1/2023,Everything Else,2008,Footwear,Sneakers,Brand A,Gently Used,9,NY,"1 Fictional St, Everything Else City, State 01",25.36,50922.88
1/1/2023,Company 14,2049,Footwear,Boots,Brand C,Gently Used,12,Chicago,"15 Fictional St, Company 14 City, State 15",7.06,14465.94
1/1/2023,Company 11,6747,Footwear,Boots,Brand C,Gently Used,10,Chicago,"12 Fictional St, Company 11 City, State 12",0.03,202.41
1/1/2023,Everything Else,3750,Footwear,Sneakers,Brand B,New,8,Nashville,"1 Fictional St, Everything Else City, State 01",0.38,1425
1/1/2023,Company 15,1613,Footwear,Boots,Brand C,Gently Used,12,NY,"16 Fictional St, Company 15 City, State 16",0.02,32.26
1/1/2023,Company 3,2606,Footwear,Boots,Brand B,Gently Used,7,LA,"4 Fictional St, Company 3 City, State 04",20.58,53631.48
1/1/2023,Everything Else,1956,Apparel,Shirts,Brand B,Gently Used,XL,Nashville,"1 Fictional St, Everything Else City, State 01",0.18,352.08
1/1/2023,Everything Else,2018,Footwear,Sneakers,Brand C,Gently Used,7,Chicago,"1 Fictional St, Everything Else City, State 01",3.96,7991.28
1/1/2023,Everything Else,1485,Footwear,Boots,Generic,Gently Used,11,Nashville,"1 Fictional St, Everything Else City, State 01",579.73,860899.05
1/1/2023,Everything Else,3176,Footwear,Boots,Generic,Worn,8,Chicago,"1 Fictional St, Everything Else City, State 01",203.67,646855.92
1/2/2023,Everything Else,2366,Footwear,Sneakers,Brand C,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",613.72,1452061.52
1/2/2023,Company 3,8070,Footwear,Sneakers,Generic,Gently Used,7,NY,"4 Fictional St, Company 3 City, State 04",4.13,33329.1
1/2/2023,Company 3,2803,Apparel,Shirts,Brand B,Gently Used,XXL,Atlanta,"4 Fictional St, Company 3 City, State 04",60.4,169301.2
1/2/2023,Company 14,4517,Footwear,Boots,Brand A,Gently Used,7,Atlanta,"15 Fictional St, Company 14 City, State 15",0.65,2936.05
1/2/2023,Company 3,1641,Footwear,Sneakers,Brand C,Gently Used,12,LA,"4 Fictional St, Company 3 City, State 04",73.39,120432.99
1/2/2023,Company 12,5225,Apparel,Coats,Generic,Gently Used,S,LA,"13 Fictional St, Company 12 City, State 13",0,0
1/2/2023,Everything Else,2136,Footwear,Sneakers,Brand B,Worn,10,Chicago,"1 Fictional St, Everything Else City, State 01",0.12,256.32
1/2/2023,Everything Else,3237,Footwear,Sneakers,Brand B,Gently Used,5,Nashville,"1 Fictional St, Everything Else City, State 01",33.58,108698.46
1/2/2023,Company 10,3289,Footwear,Sneakers,Brand B,Gently Used,12,Nashville,"11 Fictional St, Company 10 City, State 11",0.41,1348.49
1/2/2023,Everything Else,1810,Apparel,Coats,Brand A,Gently Used,M,Chicago,"1 Fictional St, Everything Else City, State 01",73.51,133053.1
1/2/2023,Company 11,1292,Footwear,Sneakers,Generic,Gently Used,9,Nashville,"12 Fictional St, Company 11 City, State 12",130.22,168244.24
1/2/2023,Everything Else,4959,Footwear,Boots,Generic,Worn,9,Atlanta,"1 Fictional St, Everything Else City, State 01",27.58,136769.22
1/3/2023,Company 14,1364,Footwear,Sneakers,Generic,Gently Used,8,Atlanta,"15 Fictional St, Company 14 City, State 15",0.01,13.64
1/3/2023,Company 5,3662,Apparel,Coats,Brand A,Gently Used,L,LA,"6 Fictional St, Company 5 City, State 06",19.34,70823.08
1/3/2023,Everything Else,3765,Footwear,Sneakers,Brand A,New,5,Chicago,"1 Fictional St, Everything Else City, State 01",353.39,1330513.35
1/3/2023,Company 12,2591,Footwear,Sneakers,Generic,Gently Used,9,Atlanta,"13 Fictional St, Company 12 City, State 13",784.96,2033831.36
1/3/2023,Company 10,2827,Apparel,Shirts,Generic,Gently Used,S,Atlanta,"11 Fictional St, Company 10 City, State 11",4.26,12043.02
1/3/2023,Everything Else,2588,Footwear,Sneakers,Brand A,Gently Used,8,LA,"1 Fictional St, Everything Else City, State 01",400.47,1036416.36
1/3/2023,Company 3,3066,Footwear,Boots,Brand C,Gently Used,8,NY,"4 Fictional St, Company 3 City, State 04",51.32,157347.12
1/3/2023,Everything Else,3748,Footwear,Sneakers,Brand B,Gently Used,11,Nashville,"1 Fictional St, Everything Else City, State 01",0.64,2398.72
1/3/2023,Everything Else,6556,Apparel,Shirts,Brand C,Gently Used,XXL,Nashville,"1 Fictional St, Everything Else City, State 01",18.82,123383.92
1/3/2023,Company 8,4154,Footwear,Sneakers,Brand A,Gently Used,10,Chicago,"9 Fictional St, Company 8 City, State 09",0.41,1703.14
1/3/2023,Everything Else,2593,Apparel,Coats,Brand B,Gently Used,XXL,NY,"1 Fictional St, Everything Else City, State 01",863,2237759
1/3/2023,Everything Else,1350,Footwear,Sneakers,Generic,Gently Used,12,Chicago,"1 Fictional St, Everything Else City, State 01",22.24,30024
1/3/2023,Everything Else,2091,Footwear,Sneakers,Brand C,New,12,LA,"1 Fictional St, Everything Else City, State 01",35.43,74084.13
1/3/2023,Everything Else,3441,Apparel,Shirts,Brand C,Gently Used,M,Nashville,"1 Fictional St, Everything Else City, State 01",1.96,6744.36
1/3/2023,Company 3,2638,Apparel,Coats,Brand A,New,XXL,NY,"4 Fictional St, Company 3 City, State 04",2040.59,5383076.42
1/3/2023,Everything Else,2530,Apparel,Coats,Brand A,Gently Used,XL,Nashville,"1 Fictional St, Everything Else City, State 01",121.57,307572.1
1/3/2023,Everything Else,2502,Footwear,Sneakers,Brand B,New,9,Atlanta,"1 Fictional St, Everything Else City, State 01",123.32,308546.64
1/3/2023,Company 5,2409,Footwear,Boots,Brand A,Gently Used,10,Nashville,"6 Fictional St, Company 5 City, State 06",383.75,924453.75
1/3/2023,Company 9,4152,Footwear,Boots,Brand B,Gently Used,9,Nashville,"10 Fictional St, Company 9 City, State 10",3971,16487592
1/3/2023,Everything Else,2430,Footwear,Sneakers,Brand A,Gently Used,8,Atlanta,"1 Fictional St, Everything Else City, State 01",2.35,5710.5
1/4/2023,Everything Else,1915,Footwear,Sneakers,Generic,New,10,LA,"1 Fictional St, Everything Else City, State 01",73,139795
1/4/2023,Company 9,1758,Footwear,Boots,Brand A,Gently Used,11,Atlanta,"10 Fictional St, Company 9 City, State 10",46.52,81782.16
1/4/2023,Company 2,991,Apparel,Shirts,Brand C,Worn,L,NY,"3 Fictional St, Company 2 City, State 03",21.96,21762.36
1/4/2023,Company 5,4536,Footwear,Boots,Brand A,Gently Used,12,Nashville,"6 Fictional St, Company 5 City, State 06",17.1,77565.6
1/4/2023,Company 8,1504,Footwear,Sneakers,Brand B,New,11,NY,"9 Fictional St, Company 8 City, State 09",757.67,1139535.68
1/4/2023,Company 3,4211,Apparel,Shirts,Brand A,Gently Used,L,LA,"4 Fictional St, Company 3 City, State 04",4.82,20297.02
1/4/2023,Everything Else,2927,Footwear,Sneakers,Generic,New,12,NY,"1 Fictional St, Everything Else City, State 01",1416.19,4145188.13
1/4/2023,Everything Else,3674,Footwear,Sneakers,Brand B,Gently Used,11,LA,"1 Fictional St, Everything Else City, State 01",0.23,845.02
1/4/2023,Everything Else,1367,Apparel,Shirts,Brand C,Gently Used,M,Chicago,"1 Fictional St, Everything Else City, State 01",37.53,51303.51
1/4/2023,Company 3,2771,Apparel,Coats,Generic,Gently Used,L,Atlanta,"4 Fictional St, Company 3 City, State 04",9.02,24994.42
1/4/2023,Everything Else,5944,Footwear,Sneakers,Generic,New,6,LA,"1 Fictional St, Everything Else City, State 01",2.72,16167.68
1/4/2023,Everything Else,2464,Footwear,Sneakers,Brand A,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",0.35,862.4
1/4/2023,Company 16,2019,Footwear,Sneakers,Brand C,Gently Used,6,Nashville,"17 Fictional St, Company 16 City, State 17",13.72,27700.68
1/5/2023,Company 12,2177,Footwear,Boots,Generic,Worn,7,LA,"13 Fictional St, Company 12 City, State 13",2.25,4898.25
1/5/2023,Everything Else,5473,Apparel,Shirts,Brand C,Gently Used,S,Atlanta,"1 Fictional St, Everything Else City, State 01",130.03,711654.19
1/5/2023,Company 3,2998,Footwear,Sneakers,Brand C,New,11,Chicago,"4 Fictional St, Company 3 City, State 04",266.03,797557.94
1/5/2023,Everything Else,3510,Footwear,Boots,Brand C,Gently Used,9,Nashville,"1 Fictional St, Everything Else City, State 01",388.77,1364582.7
1/5/2023,Everything Else,3869,Apparel,Shirts,Brand C,Gently Used,XXL,LA,"1 Fictional St, Everything Else City, State 01",0.11,425.59
1/5/2023,Everything Else,841,Footwear,Boots,Brand A,Gently Used,9,Atlanta,"1 Fictional St, Everything Else City, State 01",1.43,1202.63
1/5/2023,Everything Else,4274,Footwear,Sneakers,Brand A,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",1279.2,5467300.8
1/5/2023,Company 7,1390,Apparel,Shirts,Brand C,Gently Used,XL,NY,"8 Fictional St, Company 7 City, State 08",1.42,1973.8
1/5/2023,Company 1,4051,Footwear,Sneakers,Brand C,Worn,10,Nashville,"2 Fictional St, Company 1 City, State 02",83.62,338744.62
1/5/2023,Company 4,1931,Footwear,Sneakers,Brand B,Gently Used,6,Atlanta,"5 Fictional St, Company 4 City, State 05",2254.17,4352802.27
1/5/2023,Everything Else,2716,Footwear,Sneakers,Brand A,Gently Used,7,NY,"1 Fictional St, Everything Else City, State 01",0.33,896.28
1/5/2023,Company 11,4000,Footwear,Sneakers,Brand A,Gently Used,12,NY,"12 Fictional St, Company 11 City, State 12",0.87,3480
1/5/2023,Everything Else,5485,Footwear,Sneakers,Brand B,Gently Used,9,NY,"1 Fictional St, Everything Else City, State 01",2859.86,15686332.1
1/5/2023,Everything Else,3253,Footwear,Boots,Brand A,Gently Used,8,Atlanta,"1 Fictional St, Everything Else City, State 01",14.25,46355.25
1/6/2023,Company 9,1980,Footwear,Sneakers,Brand B,Gently Used,12,Nashville,"10 Fictional St, Company 9 City, State 10",37.37,73992.6
1/6/2023,Company 3,4418,Footwear,Sneakers,Generic,Gently Used,11,NY,"4 Fictional St, Company 3 City, State 04",0.27,1192.86
1/6/2023,Everything Else,3412,Apparel,Shirts,Generic,Gently Used,S,LA,"1 Fictional St, Everything Else City, State 01",23.47,80079.64
1/6/2023,Company 3,1756,Apparel,Shirts,Brand A,New,M,Chicago,"4 Fictional St, Company 3 City, State 04",0.26,456.56
1/6/2023,Everything Else,1192,Footwear,Boots,Brand B,Gently Used,6,Chicago,"1 Fictional St, Everything Else City, State 01",81.76,97457.92
1/6/2023,Everything Else,2013,Footwear,Sneakers,Brand C,Worn,5,Nashville,"1 Fictional St, Everything Else City, State 01",58.38,117518.94
1/6/2023,Everything Else,1934,Footwear,Sneakers,Brand C,New,6,Atlanta,"1 Fictional St, Everything Else City, State 01",0.74,1431.16
1/6/2023,Company 20,2125,Footwear,Sneakers,Brand A,Worn,5,Chicago,"21 Fictional St, Company 20 City, State 21",27.67,58798.75
1/6/2023,Everything Else,2236,Footwear,Sneakers,Brand B,Gently Used,10,NY,"1 Fictional St, Everything Else City, State 01",37.98,84923.28
1/6/2023,Company 15,2725,Footwear,Sneakers,Brand C,Gently Used,10,Atlanta,"16 Fictional St, Company 15 City, State 16",0.66,1798.5
1/6/2023,Company 5,4361,Footwear,Sneakers,Generic,Gently Used,11,Nashville,"6 Fictional St, Company 5 City, State 06",1787.94,7797206.34
1/6/2023,Company 4,3195,Apparel,Coats,Brand C,Gently Used,S,LA,"5 Fictional St, Company 4 City, State 05",61.05,195054.75
1/6/2023,Company 5,5125,Apparel,Shirts,Brand C,New,S,Atlanta,"6 Fictional St, Company 5 City, State 06",3.12,15990
1/6/2023,Company 15,4683,Footwear,Sneakers,Brand C,Gently Used,6,Nashville,"16 Fictional St, Company 15 City, State 16",304.84,1427565.72
1/7/2023,Company 8,1367,Footwear,Boots,Brand C,Gently Used,10,Chicago,"9 Fictional St, Company 8 City, State 09",0.38,519.46
1/7/2023,Company 5,3434,Footwear,Sneakers,Brand C,Gently Used,9,Nashville,"6 Fictional St, Company 5 City, State 06",0.82,2815.88
1/7/2023,Everything Else,5692,Footwear,Sneakers,Brand A,Gently Used,12,Atlanta,"1 Fictional St, Everything Else City, State 01",29.24,166434.08
1/7/2023,Everything Else,3536,Footwear,Sneakers,Generic,Gently Used,10,LA,"1 Fictional St, Everything Else City, State 01",2.28,8062.08
1/7/2023,Everything Else,639,Apparel,Shirts,Generic,New,XXL,NY,"1 Fictional St, Everything Else City, State 01",1.76,1124.64
1/7/2023,Everything Else,5457,Footwear,Boots,Brand C,Gently Used,10,LA,"1 Fictional St, Everything Else City, State 01",4.68,25538.76
1/7/2023,Company 14,5528,Footwear,Sneakers,Brand A,Gently Used,10,NY,"15 Fictional St, Company 14 City, State 15",5.19,28690.32
1/7/2023,Everything Else,2477,Footwear,Boots,Generic,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",75.19,186245.63
1/7/2023,Company 2,4337,Footwear,Boots,Brand A,Gently Used,12,Nashville,"3 Fictional St, Company 2 City, State 03",15.52,67310.24
1/7/2023,Everything Else,1472,Footwear,Sneakers,Brand A,New,9,LA,"1 Fictional St, Everything Else City, State 01",59.65,87804.8
1/7/2023,Everything Else,2296,Footwear,Sneakers,Generic,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",1076.07,2470656.72
1/7/2023,Company 3,3963,Footwear,Boots,Brand A,New,11,Atlanta,"4 Fictional St, Company 3 City, State 04",75.64,299761.32
1/7/2023,Company 3,1663,Apparel,Shirts,Generic,Gently Used,XXL,Nashville,"4 Fictional St, Company 3 City, State 04",8.05,13387.15
1/7/2023,Company 16,3076,Apparel,Shirts,Brand C,Gently Used,S,LA,"17 Fictional St, Company 16 City, State 17",41.27,126946.52
1/7/2023,Company 2,2380,Apparel,Shirts,Brand B,Gently Used,XXL,Atlanta,"3 Fictional St, Company 2 City, State 03",13.02,30987.6
1/8/2023,Everything Else,2036,Apparel,Shirts,Brand C,New,XXL,NY,"1 Fictional St, Everything Else City, State 01",23.58,48008.88
1/8/2023,Company 8,4834,Footwear,Sneakers,Brand A,Gently Used,9,Chicago,"9 Fictional St, Company 8 City, State 09",7.62,36835.08
1/8/2023,Everything Else,1821,Footwear,Sneakers,Brand C,Gently Used,7,NY,"1 Fictional St, Everything Else City, State 01",4.6,8376.6
1/8/2023,Everything Else,5004,Apparel,Coats,Generic,Gently Used,M,Atlanta,"1 Fictional St, Everything Else City, State 01",10.61,53092.44
1/8/2023,Company 5,6944,Footwear,Sneakers,Generic,New,11,Atlanta,"6 Fictional St, Company 5 City, State 06",0.03,208.32
1/8/2023,Everything Else,2847,Apparel,Shirts,Brand B,Gently Used,M,Nashville,"1 Fictional St, Everything Else City, State 01",2.16,6149.52
1/8/2023,Company 3,8557,Footwear,Sneakers,Generic,Gently Used,11,LA,"4 Fictional St, Company 3 City, State 04",5.41,46293.37
1/8/2023,Company 4,2196,Footwear,Sneakers,Brand B,New,10,Nashville,"5 Fictional St, Company 4 City, State 05",0.07,153.72
1/8/2023,Company 3,3956,Footwear,Boots,Brand C,Gently Used,7,NY,"4 Fictional St, Company 3 City, State 04",29.93,118403.08
1/8/2023,Everything Else,1475,Footwear,Sneakers,Brand B,Gently Used,10,Chicago,"1 Fictional St, Everything Else City, State 01",9.56,14101
1/8/2023,Company 4,1306,Apparel,Coats,Brand B,Gently Used,XL,NY,"5 Fictional St, Company 4 City, State 05",1.04,1358.24
1/8/2023,Company 4,2160,Footwear,Boots,Brand A,Gently Used,7,NY,"5 Fictional St, Company 4 City, State 05",22.64,48902.4
1/8/2023,Everything Else,2420,Footwear,Boots,Brand A,Gently Used,12,NY,"1 Fictional St, Everything Else City, State 01",5.13,12414.6
1/9/2023,Company 5,4510,Apparel,Shirts,Brand B,Gently Used,L,Nashville,"6 Fictional St, Company 5 City, State 06",106.77,481532.7
1/9/2023,Everything Else,1280,Footwear,Boots,Brand C,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",0.09,115.2
1/9/2023,Company 4,4707,Apparel,Coats,Brand A,Gently Used,XXL,NY,"5 Fictional St, Company 4 City, State 05",1.5,7060.5
1/9/2023,Everything Else,5029,Footwear,Sneakers,Brand A,Gently Used,8,Nashville,"1 Fictional St, Everything Else City, State 01",2.65,13326.85
1/9/2023,Everything Else,3141,Footwear,Sneakers,Brand A,Gently Used,8,Atlanta,"1 Fictional St, Everything Else City, State 01",10.04,31535.64
1/9/2023,Company 3,4507,Footwear,Sneakers,Brand A,Gently Used,12,LA,"4 Fictional St, Company 3 City, State 04",56.27,253608.89
1/9/2023,Everything Else,1861,Apparel,Coats,Generic,New,S,NY,"1 Fictional St, Everything Else City, State 01",10.71,19931.31
1/9/2023,Company 2,810,Footwear,Boots,Generic,Gently Used,9,Chicago,"3 Fictional St, Company 2 City, State 03",21.52,17431.2
1/9/2023,Company 7,2638,Apparel,Coats,Brand C,New,XL,LA,"8 Fictional St, Company 7 City, State 08",64.96,171364.48
1/9/2023,Company 7,1984,Footwear,Boots,Generic,Gently Used,5,Atlanta,"8 Fictional St, Company 7 City, State 08",6118.04,12138191.36
1/10/2023,Company 10,2302,Footwear,Sneakers,Generic,New,7,Chicago,"11 Fictional St, Company 10 City, State 11",88.28,203220.56
1/10/2023,Company 4,3072,Footwear,Boots,Brand C,Gently Used,6,Chicago,"5 Fictional St, Company 4 City, State 05",41.46,127365.12
1/10/2023,Company 4,1593,Footwear,Sneakers,Brand A,New,9,NY,"5 Fictional St, Company 4 City, State 05",2.51,3998.43
