Date,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,GIK_Per_Unit,Total_GIK,Partner,EI_Per_Unit,Total_EI,Partner_Address,Shipment_Type,Program
1/1/2023,2695,Footwear,Sneakers,Brand B,Gently Used,9,Chicago,2.42,6521.9,Company E,11.53,31073.35,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/1/2023,3974,Footwear,Sneakers,Brand B,Gently Used,9,Chicago,0.15,596.1,Company G,7.89,31354.86,"8 Partner Blvd, Company G Town, Region 08",Relief,General
1/1/2023,4509,Footwear,Boots,Brand A,Gently Used,7,Chicago,7.12,32104.08,Company E,7.99,36026.91,"5 Partner Blvd, Company E Town, Region 05",Relief,Winter
1/1/2023,3842,Footwear,Boots,Brand B,New,9,LA,6836.14,26264449.88,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Relief,General
1/2/2023,3225,Footwear,Sneakers,Brand A,Gently Used,5,NY,0.05,161.25,Company E,17.2,55470,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,General
1/2/2023,3260,Footwear,Sneakers,Generic,Gently Used,8,Atlanta,3.57,11638.2,Company E,9.87,32176.2,"5 Partner Blvd, Company E Town, Region 05",Relief,General
1/2/2023,1767,Footwear,Sneakers,Brand A,New,12,Chicago,38.93,68789.31,Company G,7.33,12952.11,"8 Partner Blvd, Company G Town, Region 08",Relief,School
1/1/2023,3933,Apparel,Coats,Generic,Gently Used,XXL,NY,1.76,6922.08,Company C,15.96,62770.68,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/3/2023,2686,Footwear,Sneakers,Brand C,Gently Used,7,Atlanta,340.4,914314.4,Company L,9.67,25973.62,"13 Partner Blvd, Company L Town, Region 13",Micro-Enterprise,Winter
1/3/2023,1774,Apparel,Coats,Brand C,New,XXL,NY,17.15,30424.1,Company C,13.25,23505.5,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/5/2023,2030,Footwear,Boots,Brand C,New,11,Nashville,219.62,445828.6,Company F,5.43,11022.9,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,General
1/6/2023,4936,Footwear,Sneakers,Generic,Gently Used,12,Nashville,1.59,7848.24,Company E,16.84,83122.24,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/6/2023,5444,Apparel,Shirts,Brand B,Gently Used,L,Chicago,63.89,347817.16,Company K,10.06,54766.64,"12 Partner Blvd, Company K Town, Region 12",Micro-Enterprise,Winter
1/6/2023,2551,Footwear,Sneakers,Brand A,Gently Used,10,NY,77.71,198238.21,Company C,15.3,39030.3,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/1/2023,2877,Footwear,Sneakers,Brand C,Gently Used,8,Chicago,12.34,35502.18,Company E,9.11,26209.47,"5 Partner Blvd, Company E Town, Region 05",Relief,School
1/4/2023,3698,Footwear,Boots,Generic,New,10,Atlanta,0.07,258.86,Company E,11.83,43747.34,"5 Partner Blvd, Company E Town, Region 05",Relief,Winter
1/1/2023,1039,Footwear,Sneakers,Brand A,Gently Used,10,Atlanta,28.83,29954.37,Company E,14.24,14795.36,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,School
1/6/2023,3517,Footwear,Boots,Generic,Gently Used,7,LA,197770.91,695560290.5,Company C,16.37,57573.29,"3 Partner Blvd, Company C Town, Region 03",Relief,School
1/5/2023,2551,Footwear,Sneakers,Brand C,New,12,Chicago,2022.17,5158555.67,Company C,14.64,37346.64,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/8/2023,5818,Footwear,Sneakers,Brand C,Gently Used,7,Atlanta,3.44,20013.92,Company C,16.19,94193.42,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/8/2023,3020,Footwear,Sneakers,Brand C,Gently Used,6,Nashville,18.83,56866.6,Company J,6.28,18965.6,"11 Partner Blvd, Company J Town, Region 11",Relief,School
1/4/2023,2602,Footwear,Sneakers,Brand B,Gently Used,8,Chicago,120.96,314737.92,Company F,5.38,13998.76,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/2/2023,2655,Apparel,Shirts,Generic,Worn,M,Nashville,1.38,3663.9,Company C,15.78,41895.9,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/3/2023,8416,Footwear,Sneakers,Brand A,Gently Used,6,Atlanta,3.82,32149.12,Company H,5.29,44520.64,"9 Partner Blvd, Company H Town, Region 09",Relief,General
1/9/2023,2695,Apparel,Shirts,Brand B,Gently Used,M,LA,280.88,756971.6,Company C,15.42,41556.9,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/9/2023,7820,Footwear,Sneakers,Brand B,Gently Used,5,Atlanta,88.95,695589,Company E,14.12,110418.4,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
1/6/2023,3553,Apparel,Shirts,Brand C,Gently Used,S,Nashville,30.35,107833.55,Company C,14.51,51554.03,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/4/2023,1910,Footwear,Sneakers,Brand C,Gently Used,6,NY,0.11,210.1,Company C,13.98,26701.8,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/5/2023,5846,Footwear,Sneakers,Brand B,Worn,5,LA,82.06,479722.76,Company C,11.27,65884.42,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/9/2023,2925,Apparel,Coats,Generic,Gently Used,M,NY,0.18,526.5,Company I,3.95,11553.75,"10 Partner Blvd, Company I Town, Region 10",Relief,School
1/7/2023,2416,Footwear,Sneakers,Brand C,Gently Used,7,LA,0.09,217.44,Company C,14.93,36070.88,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/7/2023,2348,Apparel,Shirts,Brand B,Gently Used,S,Nashville,10.01,23503.48,Company C,12.33,28950.84,"3 Partner Blvd, Company C Town, Region 03",Relief,School
1/7/2023,4453,Footwear,Sneakers,Brand C,New,6,LA,22.86,101795.58,Company F,3.45,15362.85,"6 Partner Blvd, Company F Town, Region 06",Relief,Winter
1/5/2023,2135,Footwear,Boots,Brand A,Gently Used,8,NY,117.29,250414.15,Company C,13.54,28907.9,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/11/2023,3281,Apparel,Coats,Generic,New,M,Chicago,19.07,62568.67,Company C,15.04,49346.24,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/5/2023,3931,Footwear,Sneakers,Brand B,Gently Used,10,Atlanta,12.68,49845.08,Company C,10.47,41157.57,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/5/2023,580,Footwear,Sneakers,Brand A,Gently Used,12,Nashville,0.79,458.2,Company E,14.76,8560.8,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
1/9/2023,2415,Footwear,Boots,Brand C,Worn,9,LA,182.34,440351.1,Company E,14.71,35524.65,"5 Partner Blvd, Company E Town, Region 05",Relief,School
1/9/2023,4339,Footwear,Sneakers,Brand C,Gently Used,9,Atlanta,1.24,5380.36,Company E,13.25,57491.75,"5 Partner Blvd, Company E Town, Region 05",Relief,General
1/7/2023,2556,Apparel,Shirts,Generic,Gently Used,XL,NY,36.12,92322.72,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Relief,General
1/3/2023,4023,Footwear,Sneakers,Generic,Gently Used,6,Chicago,14.01,56362.23,Company I,0.02,80.46,"10 Partner Blvd, Company I Town, Region 10",Relief,Winter
1/2/2023,1596,Apparel,Coats,Generic,Gently Used,XXL,NY,346.8,553492.8,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,School
1/12/2023,4396,Apparel,Coats,Brand A,New,L,LA,0.95,4176.2,Company F,6.02,26463.92,"6 Partner Blvd, Company F Town, Region 06",Relief,School
1/6/2023,1406,Footwear,Sneakers,Brand B,Gently Used,5,LA,173.35,243730.1,Company C,16.55,23269.3,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/1/2023,1857,Footwear,Sneakers,Generic,Gently Used,11,LA,0.17,315.69,Company C,14.06,26109.42,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
1/11/2023,2481,Apparel,Shirts,Brand C,New,XXL,LA,7.56,18756.36,Company G,2.39,5929.59,"8 Partner Blvd, Company G Town, Region 08",Relief,Winter
1/8/2023,3861,Footwear,Sneakers,Brand C,Gently Used,7,LA,3580.09,13822727.49,Company F,5.11,19729.71,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/9/2023,2175,Apparel,Shirts,Generic,Gently Used,L,Nashville,23.2,50460,Company D,7.41,16116.75,"4 Partner Blvd, Company D Town, Region 04",Micro-Enterprise,Winter
1/8/2023,1442,Apparel,Coats,Brand B,Gently Used,L,Atlanta,0.98,1413.16,Company J,4.71,6791.82,"11 Partner Blvd, Company J Town, Region 11",Relief,General
1/7/2023,2685,Footwear,Sneakers,Generic,Gently Used,12,LA,27.58,74052.3,Company E,14.55,39066.75,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,General
1/10/2023,2351,Footwear,Boots,Brand B,New,6,Chicago,2.83,6653.33,Company E,14.3,33619.3,"5 Partner Blvd, Company E Town, Region 05",Relief,General
1/10/2023,3939,Footwear,Sneakers,Brand A,Gently Used,7,Nashville,1.3,5120.7,Company C,12.83,50537.37,"3 Partner Blvd, Company C Town, Region 03",Relief,School
1/8/2023,1882,Footwear,Sneakers,Brand C,Gently Used,6,LA,856.96,1612798.72,Company C,13.31,25049.42,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/13/2023,2423,Apparel,Coats,Brand C,Gently Used,M,Atlanta,10.84,26265.32,Company G,3.56,8625.88,"8 Partner Blvd, Company G Town, Region 08",Micro-Enterprise,Winter
1/2/2023,2819,Footwear,Sneakers,Brand B,Gently Used,7,Chicago,2.13,6004.47,Company F,3.85,10853.15,"6 Partner Blvd, Company F Town, Region 06",Relief,General
1/3/2023,4834,Apparel,Shirts,Brand C,New,S,Chicago,0.12,580.08,Company E,13.71,66274.14,"5 Partner Blvd, Company E Town, Region 05",Relief,Winter
1/8/2023,3073,Footwear,Boots,Brand A,Gently Used,10,Chicago,353.29,1085660.17,Company F,3.69,11339.37,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,General
1/2/2023,2440,Apparel,Shirts,Generic,New,S,LA,841.95,2054358,Company I,0,0,"10 Partner Blvd, Company I Town, Region 10",Relief,Winter
1/14/2023,2235,Footwear,Boots,Brand A,Gently Used,12,LA,36.61,81823.35,Company F,1.67,3732.45,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,General
1/13/2023,2754,Footwear,Boots,Brand C,New,6,Atlanta,1533.39,4222956.06,Company I,2.18,6003.72,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,General
