,,Atlanta,Atlanta,Atlanta,Atlanta,Chicago,Chicago,Chicago,Chicago,Nashville,Nashville,Nashville,Nashville,LA,LA,LA,LA,NY,NY,NY,NY
DOW,Date,Atlanta IN,Atlanta OUT,Atlanta NET,Atlanta INV,Chicago IN,Chicago OUT,Chicago NET,Chicago INV,Nashville IN,Nashville OUT,Nashville NET,Nashville INV,LA IN,LA OUT,LA NET,LA INV,NY IN,NY OUT,NY NET,NY INV
Sun,1/1/2017,4630,0,4630,4630,1695,0,1695,1695,7656,0,7656,7656,10469,0,10469,10469,6452,0,6452,6452
Mon,1/2/2017,6609,0,6609,11239,5059,0,5059,6754,7404,0,7404,15060,3587,0,3587,14056,2978,0,2978,9430
Tue,1/3/2017,987,0,987,12226,10384,0,10384,17138,4158,0,4158,19218,11459,0,11459,25515,1468,0,1468,10898
Wed,1/4/2017,2537,0,2537,14763,8127,0,8127,25265,2769,0,2769,21987,3513,0,3513,29028,5058,0,5058,15956
Thu,1/5/2017,19207,0,19207,33970,4016,0,4016,29281,7890,0,7890,29877,1451,0,1451,30479,3678,0,3678,19634
Fri,1/6/2017,4116,0,4116,38086,9384,0,9384,38665,2768,0,2768,32645,11653,0,11653,42132,7944,0,7944,27578
Sat,1/7/2017,9675,0,9675,47761,5609,0,5609,44274,2817,0,2817,35462,6891,0,6891,49023,22241,0,22241,49819
Sun,1/8/2017,8313,0,8313,56074,4419,0,4419,48693,7286,0,7286,42748,0,0,0,49023,7348,0,7348,57167
Mon,1/9/2017,8919,0,8919,64993,6677,3191,3486,52179,4758,1233,3525,46273,3683,0,3683,52706,3400,0,3400,60567
Tue,1/10/2017,6366,0,6366,71359,6410,0,6410,58589,1967,0,1967,48240,0,6100,-6100,46606,5562,2997,2565,63132
Wed,1/11/2017,15873,1382,14491,85850,0,0,0,58589,4818,0,4818,53058,12400,0,12400,59006,6132,0,6132,69264
Thu,1/12/2017,8466,0,8466,94316,0,1868,-1868,56721,1427,3828,-2401,50657,13368,3965,9403,68409,0,0,0,69264
Fri,1/13/2017,11401,0,11401,105717,3778,3231,547,57268,11984,0,11984,62641,7115,2232,4883,73292,7559,2703,4856,74120
Sat,1/14/2017,18835,8656,10179,115896,2815,3744,-929,56339,9087,1394,7693,70334,10915,5867,5048,78340,7686,0,7686,81806
Sun,1/15/2017,11343,2604,8739,124635,8606,0,8606,64945,0,0,0,70334,5623,993,4630,82970,5469,10912,-5443,76363
Mon,1/16/2017,5614,0,5614,130249,1133,2409,-1276,63669,6330,0,6330,76664,9144,1451,7693,90663,7310,2978,4332,80695
Tue,1/17/2017,7741,9865,-2124,128125,2582,4145,-1563,62106,12929,1197,11732,88396,5133,0,5133,95796,2732,1742,990,81685
Wed,1/18/2017,2860,2537,323,128448,13132,3249,9883,71989,0,0,0,88396,13247,7110,6137,101933,9414,982,8432,90117
Thu,1/19/2017,7798,7965,-167,128281,12385,0,12385,84374,12952,4103,8849,97245,2346,4867,-2521,99412,0,1471,-1471,88646
Fri,1/20/2017,12087,0,12087,140368,0,5690,-5690,78684,5683,1414,4269,101514,1668,2571,-903,98509,4050,10394,-6344,82302
Sat,1/21/2017,7830,1868,5962,146330,982,0,982,79666,12961,3334,9627,111141,5223,0,5223,103732,4740,6972,-2232,80070
Sun,1/22/2017,3944,0,3944,150274,1794,7842,-6048,73618,12400,3772,8628,119769,5229,1735,3494,107226,8150,0,8150,88220
Mon,1/23/2017,0,0,0,150274,2092,4633,-2541,71077,1761,2768,-1007,118762,4412,3683,729,107955,6778,0,6778,94998
Tue,1/24/2017,10212,7468,2744,153018,7008,4515,2493,73570,11219,0,11219,129981,6247,7904,-1657,106298,9936,0,9936,104934
Wed,1/25/2017,7029,1713,5316,158334,2210,5776,-3566,70004,8368,8558,-190,129791,7735,0,7735,114033,13496,5699,7797,112731
Thu,1/26/2017,10695,10628,67,158401,3671,6017,-2346,67658,936,9628,-8692,121099,13151,10992,2159,116192,2367,8740,-6373,106358
Fri,1/27/2017,10526,4830,5696,164097,4905,5629,-724,66934,2633,5239,-2606,118493,2557,8017,-5460,110732,3465,8930,-5465,100893
Sat,1/28/2017,3081,13917,-10836,153261,6594,2006,4588,71522,4599,9414,-4815,113678,6770,6880,-110,110622,5687,2465,3222,104115
Sun,1/29/2017,14201,4240,9961,163222,20914,0,20914,92436,1662,3256,-1594,112084,7767,1958,5809,116431,4898,0,4898,109013
Mon,1/30/2017,3165,16222,-13057,150165,10794,4419,6375,98811,5214,14101,-8887,103197,4031,2892,1139,117570,12507,2402,10105,119118
Tue,1/31/2017,5890,20083,-14193,135972,13070,5086,7984,106795,978,7132,-6154,97043,4128,6758,-2630,114940,6414,7820,-1406,117712
Wed,2/1/2017,6724,13135,-6411,129561,5078,4540,538,107333,6727,6878,-151,96892,12118,2577,9541,124481,7664,7774,-110,117602
Thu,2/2/2017,0,7744,-7744,121817,2329,3201,-872,106461,5521,3252,2269,99161,10149,6740,3409,127890,7504,5758,1746,119348
Fri,2/3/2017,7433,16752,-9319,112498,3198,1133,2065,108526,9976,7944,2032,101193,4132,6452,-2320,125570,7785,15679,-7894,111454
Sat,2/4/2017,16182,4748,11434,123932,4400,7260,-2860,105666,4932,1596,3336,104529,1056,12145,-11089,114481,4340,7982,-3642,107812
Sun,2/5/2017,1020,18595,-17575,106357,10283,1090,9193,114859,10066,8544,1522,106051,2791,3612,-821,113660,10940,1760,9180,116992
Mon,2/6/2017,4179,7696,-3517,102840,11826,11288,538,115397,2927,6117,-3190,102861,1658,12786,-11128,102532,8002,4663,3339,120331
Tue,2/7/2017,1521,7175,-5654,97186,4802,0,4802,120199,0,5379,-5379,97482,1474,8158,-6684,95848,6821,7712,-891,119440
Wed,2/8/2017,0,8588,-8588,88598,10442,8125,2317,122516,658,3886,-3228,94254,14631,7744,6887,102735,0,8323,-8323,111117
Thu,2/9/2017,7192,5768,1424,90022,3339,7421,-4082,118434,1137,8853,-7716,86538,13196,3159,10037,112772,4613,5824,-1211,109906
Fri,2/10/2017,8198,10760,-2562,87460,12949,4265,8684,127118,7772,6058,1714,88252,10986,7008,3978,116750,7240,13304,-6064,103842
Sat,2/11/2017,0,8387,-8387,79073,3845,2549,1296,128414,3323,5650,-2327,85925,11670,4667,7003,123753,879,4701,-3822,100020
Sun,2/12/2017,12688,4077,8611,87684,10159,2456,7703,136117,2773,8003,-5230,80695,9935,3289,6646,130399,3542,6309,-2767,97253
Mon,2/13/2017,8875,4604,4271,91955,3446,9063,-5617,130500,911,5630,-4719,75976,3815,2791,1024,131423,7394,0,7394,104647
